x1,x2,x3,x4,x5,y
0.5,0.5,0.5,0.5,0.5,0.5115677047
0.5115677047,0.5,0.5,0.5,0.5,0.4964095679
0.4964095679,0.5115677047,0.5,0.5,0.5,0.5131627062
0.5131627062,0.4964095679,0.5115677047,0.5,0.5,0.5334717841
0.5334717841,0.5131627062,0.4964095679,0.5115677047,0.5,0.5338693046
0.5338693046,0.5334717841,0.5131627062,0.4964095679,0.5115677047,0.5536940628
0.5536940628,0.5338693046,0.5334717841,0.5131627062,0.4964095679,0.5536940628
0.5536940628,0.5536940628,0.5338693046,0.5334717841,0.5131627062,0.5540893595
0.5540893595,0.5536940628,0.5536940628,0.5338693046,0.5334717841,0.5263110873
0.5263110873,0.5540893595,0.5536940628,0.5536940628,0.5338693046,0.468118628
0.468118628,0.5263110873,0.5540893595,0.5536940628,0.5536940628,0.4059405471
0.4059405471,0.468118628,0.5263110873,0.5540893595,0.5536940628,0.4059405471
0.4059405471,0.4059405471,0.468118628,0.5263110873,0.5540893595,0.3074821361
0.3074821361,0.4059405471,0.4059405471,0.468118628,0.5263110873,0.3427387555
0.3427387555,0.3074821361,0.4059405471,0.4059405471,0.468118628,0.3036259953
0.3036259953,0.3427387555,0.3074821361,0.4059405471,0.4059405471,0.08644125531
0.5525078541,0.5163520521,0.5079783137,0.5,0.5,0.5698530288
0.5698530288,0.5525078541,0.5163520521,0.5079783137,0.5,0.6528402593
0.6528402593,0.5698530288,0.5525078541,0.5163520521,0.5079783137,0.6700314463
0.6700314463,0.6528402593,0.5698530288,0.5525078541,0.5163520521,0.6772418897
0.6772418897,0.6700314463,0.6528402593,0.5698530288,0.5525078541,0.7648527612
0.7648527612,0.6772418897,0.6700314463,0.6528402593,0.5698530288,0.8284352729
0.8284352729,0.7648527612,0.6772418897,0.6700314463,0.6528402593,0.8851243993
0.8851243993,0.8284352729,0.7648527612,0.6772418897,0.6700314463,0.9615530627
0.9615530627,0.8851243993,0.8284352729,0.7648527612,0.6772418897,0.9992508175
